
2024/11/10 (18:07:20) | ===> btop++ v.1.4.0
2024/11/10 (18:07:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/10 (18:07:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (01:18:52) | ===> btop++ v.1.4.0
2024/11/11 (01:18:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (01:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (01:24:58) | ===> btop++ v.1.4.0
2024/11/11 (01:24:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (01:24:58) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/11 (02:02:41) | ERROR: Stall in Runner thread, restarting!
2024/11/11 (02:04:55) | ERROR: Stall in Runner thread, restarting!

2024/11/13 (00:10:25) | ===> btop++ v.1.4.0
2024/11/13 (00:10:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (00:10:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:19:02) | ===> btop++ v.1.4.0
2024/11/13 (12:19:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (12:19:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (00:03:37) | ===> btop++ v.1.4.0
2024/11/22 (00:03:37) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/22 (00:07:43) | ===> btop++ v.1.4.0
2024/11/22 (00:07:43) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/22 (00:07:50) | ===> btop++ v.1.4.0
2024/11/22 (00:07:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/22 (00:07:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (00:07:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (16:10:26) | ===> btop++ v.1.4.0
2024/11/23 (16:10:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/23 (16:10:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (18:49:32) | ===> btop++ v.1.4.0
2024/11/24 (18:49:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/24 (18:49:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:07:24) | ===> btop++ v.1.4.0
2024/11/29 (11:07:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (11:07:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (23:15:35) | ===> btop++ v.1.4.0
2024/11/29 (23:15:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (23:15:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (17:18:12) | ===> btop++ v.1.4.0
2024/12/05 (17:18:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/05 (17:18:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (16:31:07) | ===> btop++ v.1.4.0
2024/12/06 (16:31:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (16:31:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:19:19) | ===> btop++ v.1.4.0
2024/12/29 (20:19:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/29 (20:19:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (14:56:09) | ===> btop++ v.1.4.0
2024/12/30 (14:56:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/30 (14:56:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (14:56:17) | ===> btop++ v.1.4.0
2024/12/30 (14:56:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/30 (14:56:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (22:05:11) | ===> btop++ v.1.4.0
2024/12/30 (22:05:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/30 (22:05:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:30:27) | ===> btop++ v.1.4.0
2024/12/31 (01:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/31 (01:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:31:12) | ===> btop++ v.1.4.0
2024/12/31 (01:31:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/31 (01:31:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (23:29:35) | ===> btop++ v.1.4.0
2025/01/07 (23:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (23:29:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (03:02:37) | ===> btop++ v.1.4.0
2025/01/09 (03:02:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (03:02:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (22:18:06) | ===> btop++ v.1.4.0
2025/01/09 (22:18:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (22:18:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (15:15:22) | ===> btop++ v.1.4.0
2025/01/13 (15:15:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (15:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (08:17:22) | ===> btop++ v.1.4.0
2025/01/15 (08:17:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (08:17:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (13:41:51) | ===> btop++ v.1.4.0
2025/01/26 (13:41:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (13:41:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (14:15:09) | ===> btop++ v.1.4.0
2025/01/28 (14:15:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (14:15:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (14:56:45) | ===> btop++ v.1.4.0
2025/01/28 (14:56:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (14:56:45) | WARNING: Intel GPU: Failed to initialize PMU
