7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
ags-hyprpanel-git r610.59b57fc-1
alsa-card-profiles 1:1.4.6-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
ansible 11.7.0-1
ansible-core 2.18.6-2
ant 1.10.15-1
aom 3.12.1-1
apache 2.4.63-3
appmenu-glib-translator-git 24.05.r6.g218bb4a-1
appstream 1.0.5-2
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine-git 0.8.0.r4.ga19cf76-1
archlinux-keyring 20250707-1
argon2 20190702-6
aribb24 1.0.3-4
aribb25 0.2.7-3
asar 3.4.1-1
asio 1.34.2-1
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
attr 2.5.2-1
atuin 18.6.1-1
audit 4.0.5-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-2
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 2.3.0.r68.g2eb3ea5-1
aylurs-gtk-shell-git-debug 2.3.0.r68.g2eb3ea5-1
baobab 48.0-3
base 3-2
base-devel 1-2
bash 5.3.0-1
bash-completion 2.16.0-1
bat 0.25.0-4
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
bitwarden-bin 2025.6.1-1
bitwarden-bin-debug 2025.6.1-1
blas 3.12.1-2
blueman 2.4.6-1
blueprint-compiler 0.18.0-1
bluetuith-git 0.2.3.r6.g1043bb8-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-obex 5.83-1
bluez-utils 5.83-1
bolt 0.9.9-1
boost-libs 1.88.0-3
breeze-icons 6.16.0-1
brightnessctl 0.5.1-3
brltty 6.7-5
brotli 1.1.0-3
btop-git 1.4.2.r1236.9bd618f-1
bubblewrap 0.11.0-1
buku 5.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
catch2 3.8.1-1
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cblas 3.12.1-2
cdparanoia 10.2-9
check 0.15.2-3
chromaprint 1.5.1-10
chromium 138.0.7204.92-1
chrono-date 3.0.4-1
chrpath 0.17-1
cifs-utils 7.4-1
cjson 1.7.18-1
clang 20.1.7-1
clojure 1.12.1.1550-1
cloudflare-warp-bin 2025.5.893-1
cloudflare-warp-bin-debug 2025.5.893-1
clucene 2.3.3.4-16
cmake 4.0.3-1
coin 4.0.3-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
compiler-rt 20.1.7-1
composefs 1.0.8-1
confuse 3.3-4
containerd 2.1.3-1
coreutils 9.7-1
cppdap 1.58.0-2
cracklib 2.10.3-1
cromite-bin 138.0.7204.97-1
cryptsetup 2.8.0-1
cups-pk-helper 0.2.7-2
curl 8.14.1-1
cython 3.1.2-1
dart-sass 1.86.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.33-1
dialog 1:1.3_20250116-1
diffutils 3.12-2
directx-headers 1.615.0-2
discord 1:0.0.101-1
djvulibre 3.5.28-6
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.3.2-1
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.1-1
duktape 2.7.0-7
dvisvgm 3.5-2
e2fsprogs 1.47.3-1
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.19-1
egl-x11 1.0.2-1
eglexternalplatform 1.2.1-1
electron 1:36-1
electron34 34.5.8-1
electron35 35.7.1-1
electron36 36.7.1-1
ell 0.78-1
enchant 2.8.10-1
